Budget;DirectorId;MainLanguageId;MainActorId;Popularity;VoteAverage;Year
1100000;16513;9;16483;2.152035;7.1;1976
1500000;10001;16;8487;0.394707;7.6;1953
1500000;2636;9;854;0.490165;7.2;1948
3200000;3556;9;12021;0.593072;7.1;1968
70000000;488;5;31;2.281023;7.6;1998
25000000;1150;9;1158;1.922206;7.6;1983
22000000;488;7;3896;1.42054;7.9;1993
33000000;7467;9;287;2.0337;7.8;1995
80000000;1032;9;6193;2.333748;7.4;2010
40000000;2293;9;62;1.562871;7;2005
2540800;13284;9;13294;0.650572;7.3;1952
0;10601;9;3359;0.33503;6.9;1972
15000000;2034;12;76788;1.440427;7.4;2008
10000000;956;9;976;1.62974;7.5;2000
3500000;3146;9;3149;0.529344;7.6;1959
8000000;3026;9;3033;0.830225;7.3;1986
150000000;15344;9;62064;2.889398;7.3;2009
32350000;19800;9;2;9.679567;7.7;1983
1200000;2636;12;12497;0.408564;7;1951
1752000;3146;9;8252;0.577127;7.9;1950
2600000;52763;57;52764;0.360014;7.6;2007
1300000;1032;9;380;1.443307;7.6;1976
100000000;2710;9;1100;4.524169;7.3;1991
3000000;3146;9;3151;0.88627;7.8;1960
15000000;67717;9;56024;1.460593;7.2;2011
220000000;12891;9;3223;4.33904;7.3;2012
2100000;10001;9;13576;0.457758;6.7;1946
15000000;1223;9;1229;0.979065;7.5;1998
0;11435;9;4110;0.354115;7.3;1946
70000000;25598;9;1892;1.783841;7.1;2007
3000000;12238;17;8252;0.735702;7.2;1957
185000000;525;9;3894;4.622909;7.9;2008
15000000;12114;9;380;0.734013;7.3;1978
90000000;1032;9;6193;2.146799;7.6;2006
5000000;5602;9;5049;0.706274;7.8;1980
8000000;15175;7;37366;2.040062;7;1973
750000;10517;-1;8635;0.755773;7.5;1927
6000000;1776;9;3084;3.72624;8.1;1972
923000;13848;9;13848;1.015127;7;1925
3000000;5342;9;10774;0.660159;7.2;1967
750000;8500;9;4958;0.428242;6.5;1940
2000000;13848;9;13848;0.723119;7.8;1940
4000000;14520;9;13565;0.539641;7.3;1963
60000000;4027;12;31;2.477113;7.9;1999
250000000;108;9;1327;4.322778;6.8;2012
2000000;14875;9;3636;0.596989;7;1961
0;13848;9;13848;0.762079;7.9;1921
320000;240;9;3088;0.501566;7.4;1956
15000000;70500;9;5472;1.451524;7.3;2010
45000000;15812;9;53283;2.919226;7.5;1994
79000000;108;9;109;3.209617;7.7;2002
375000;6593;9;4110;0.775609;7.6;1941
3200000;8500;9;4165;0.634757;6.8;1962
80000000;13776;9;4347;0.197946;6.6;1962
63000000;9339;9;6384;3.895945;7.6;1999
795000;10921;9;10158;0.585113;7.6;1955
35000000;3556;7;3490;1.317656;7.8;2002
40000000;525;9;6968;2.486151;7.7;2006
16000000;3026;9;2130;0.844615;7.5;1987
25000000;4027;9;504;3.054174;8.2;1994
19000000;240;9;514;1.490551;7.8;1980
19000000;16294;9;1038;0.498407;7.6;1991
40000000;11614;-1;62;1.332312;7.3;1999
5500000;9577;9;3636;0.80986;7.7;1973
6400000;2710;9;1100;4.038489;7;1984
10000000;11770;9;6856;0.753709;7.4;1982
0;15378;9;7664;0.894604;7.6;1949
3800000;6593;9;4110;0.694203;7.7;1948
60000000;2690;9;206;1.686017;7.3;1998
25000000;1150;9;1269;1.285086;7.3;1987
6000000;9032;10;1979;1.237343;7.8;1995
6244087;7767;7;7502;0.594133;7.2;1969
2777000;9049;9;9066;0.828448;6.8;1939
25000000;4762;9;11856;0.713267;7.7;2007
2000000;8482;9;8487;0.861995;7.7;1962
0;608;17;55662;1.773408;7.9;1988
829000;40;10;10017;0.753716;7.6;1958
30000000;7879;9;31;3.306742;7.4;1995
4000000;2034;9;3061;0.791102;7.3;1996
0;1126;12;1350;0.309855;7.6;1994
